index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified,original_label,inference,is_match
702,snack yang disediakan juga lumayan banyak .,"[('snack', 'lumayan banyak', 'positive')]",meteorit yang disediakan juga lumayan banyak .,"[('meteorit', 'lumayan banyak', 'positive')]",snack yang disediakan juga cukup banyak .,"[('snack', 'cukup banyak', 'positive')]",snack yang disediakan sedikit sekali .,"[('snack', 'sedikit sekali', 'negative')]",[A] snack,[A] snack,True
713,tempatnya di tengah kota dan sangat tenang .,"[('tempatnya', 'sangat tenang', 'positive')]",kopernya di tengah kota dan sangat tenang .,"[('kopernya', 'sangat tenang', 'positive')]",tempatnya di tengah kota dan sangat nyaman .,"[('tempatnya', 'sangat nyaman', 'positive')]",tempatnya di tengah kota dan sangat ramai .,"[('tempatnya', 'sangat ramai', 'negative')]",[A] tempatnya,[A] tempatnya,True
730,sarapannya kurang enak .,"[('sarapannya', 'kurang enak', 'negative')]",pohonnya kurang enak .,"[('pohonnya', 'kurang enak', 'negative')]",sarapannya hambar sekali .,"[('sarapannya', 'hambar sekali', 'negative')]",sarapannya sangat lezat .,"[('sarapannya', 'sangat lezat', 'positive')]",[A] sarapannya,[A] sarapannya,True
736,wifi tidak tertangkap .,"[('wifi', 'tidak tertangkap', 'negative')]",pos tidak tertangkap .,"[('pos', 'tidak tertangkap', 'negative')]",wifi tidak ada koneksi .,"[('wifi', 'tidak ada koneksi', 'negative')]",wifi lancar sekali .,"[('wifi', 'lancar sekali', 'positive')]",[A] wifi,[A] wifi,True
738,"tempatnya nyaman , insya allah kalau ke cirebon akan mampir lagi .","[('tempatnya', 'nyaman', 'positive')]","lukisan nyaman , insya allah kalau ke cirebon akan mampir lagi .","[('lukisan', 'nyaman', 'positive')]","tempatnya enak , insya allah kalau ke cirebon akan mampir lagi .","[('tempatnya', 'enak', 'positive')]","tempatnya kurang nyaman , kalau ke cirebon ngga akan mampir lagi .","[('tempatnya', 'kurang nyaman', 'negative')]",[A] tempatnya,[A] tempatnya,True
744,ac nya panas .,"[('ac nya', 'panas', 'negative')]",es nya panas .,"[('es nya', 'panas', 'negative')]",ac nya gerah .,"[('ac nya', 'gerah', 'negative')]",ac nya dingin .,"[('ac nya', 'dingin', 'positive')]",[A] ac nya,[A] ac nya,True
746,wifi nya tidak aktif .,"[('wifi nya', 'tidak aktif', 'negative')]",lemari tidak aktif .,"[('lemari', 'tidak aktif', 'negative')]",wifi nya sudah rusak .,"[('wifi nya', 'sudah rusak', 'negative')]",wifi nya berfungsi .,"[('wifi nya', 'berfungsi', 'positive')]",[A] wifi nya,[A] wifi nya,True
750,air showernya kecil .,"[('air showernya', 'kecil', 'negative')]",perjanjiannya kecil .,"[('perjanjiannya', 'kecil', 'negative')]",air showernya pelan .,"[('air showernya', 'pelan', 'negative')]",air showernya deras .,"[('air showernya', 'deras', 'positive')]",[A] air showernya,[A] air showernya,True
776,over all baik tetapi kalau bisa kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas .,"[('over all', 'baik', 'positive')]",komik baik tetapi kalau bisa kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas .,"[('komik', 'baik', 'positive')]",over all ok tetapi kalau bisa kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas .,"[('over all', 'ok', 'positive')]","over all mengecewakan , kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas .","[('over all', 'mengecewakan', 'negative')]",[A] over all,[A] over all,True
790,"ada deposit 100 rb . check in cepat . lokasi dekat sama tempat makan , minimarket , mall .","[('check in', 'cepat', 'positive')]","ada deposit 100 rb . bantal cepat . lokasi dekat sama tempat makan , minimarket , mall .","[('bantal', 'cepat', 'positive')]","ada deposit 100 rb . check in mudah . lokasi dekat sama tempat makan , minimarket , mall .","[('check in', 'mudah', 'positive')]","ada deposit 100 rb . check in lambat . lokasi dekat sama tempat makan , minimarket , mall .","[('check in', 'lambat', 'negative')]",[A] check in,[A] check in,True
795,saya baru di infokan kalau tidak ada parkir setelah sudah sampai .,"[('parkir', 'tidak ada', 'negative')]",saya baru di infokan kalau tidak ada langit setelah sudah sampai .,"[('langit', 'tidak ada', 'negative')]",saya baru di infokan kalau gaada parkir setelah sudah sampai .,"[('parkir', 'gaada', 'negative')]",saya baru di infokan kalau tersedia parkir setelah sudah sampai .,"[('parkir', 'tersedia', 'positive')]",[A] parkir,[A] parkir,True
796,internetnya lambat .,"[('internetnya', 'lambat', 'negative')]",listrik lambat .,"[('listrik', 'lambat', 'negative')]",internetnya lelet .,"[('internetnya', 'lelet', 'negative')]",internetnya cepat .,"[('internetnya', 'cepat', 'positive')]",[A] internetnya,[A] internetnya,True
823,fasilitasnya bagus . terima kasih airy .,"[('fasilitasnya', 'bagus', 'positive')]",kemapanan bagus . terima kasih airy .,"[('kemapanan', 'bagus', 'positive')]",fasilitasnya keren . terima kasih airy .,"[('fasilitasnya', 'keren', 'positive')]",fasilitasnya buruk . terima kasih airy .,"[('fasilitasnya', 'buruk', 'negative')]",[A] fasilitasnya,[A] fasilitasnya,True
827,kenyamanan kurang . suara orang sebelah kamar terdengar jelas .,"[('kenyamanan', 'kurang', 'negative')]",cita-cita kurang . suara orang sebelah kamar terdengar jelas .,"[('cita-cita', 'kurang', 'negative')]",kenyamanan rendah . suara orang sebelah kamar terdengar jelas .,"[('kenyamanan', 'rendah', 'negative')]",kenyamanan memuaskan . suara orang sebelah kamar tidak terdengar .,"[('kenyamanan', 'memuaskan', 'positive')]",[A] kenyamanan,[A] kenyamanan,True
829,lokasi hotel strategis .,"[('lokasi hotel', 'strategis', 'positive')]",jamban strategis .,"[('jamban', 'strategis', 'positive')]",lokasi hotel sangat ideal .,"[('lokasi hotel', 'sangat ideal', 'positive')]",lokasi hotel tidak ideal.,"[('lokasi hotel', 'tidak ideal', 'negative')]",[A] lokasi hotel,[A] lokasi hotel,True
855,"kamar mandi kotor , hotel sering buat kegiatan anehaneh .","[('kamar mandi', 'kotor', 'negative')]","satelitnya kotor , hotel sering buat kegiatan anehaneh .","[('satelitnya', 'kotor', 'negative')]","kamar mandi jelek , hotel sering buat kegiatan anehaneh .","[('kamar mandi', 'jelek', 'negative')]","kamar mandi sangat bersih , hotel sering buat kegiatan yang umum .","[('kamar mandi', 'sangat bersih', 'positive')]",[A] kamar mandi,[A] kamar mandi,True
860,hotelnya nyaman serasa bintang 3 .,"[('hotelnya', 'nyaman', 'positive')]",cermin nyaman serasa bintang 3 .,"[('cermin', 'nyaman', 'positive')]",hotelnya enak serasa bintang 3 .,"[('hotelnya', 'enak', 'positive')]",hotelnya jelek serasa bintang 3 .,"[('hotelnya', 'jelek', 'negative')]",[A] hotelnya,[A] hotelnya,True
877,resepsionis sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'sangat tidak ramah', 'negative')]",kurs dolar sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('kurs dolar', 'sangat tidak ramah', 'negative')]",resepsionis menjengkelkan . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'menjengkelkan', 'negative')]",resepsionis tetap ramah walaupun cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'tetap ramah', 'positive')]",[A] resepsionis,[A] resepsionis,True
894,tempat nya asri . didpnnya ada masjid bagus .,"[('tempat nya', 'asri', 'positive')]",ideologinya asri . didpnnya ada masjid bagus .,"[('ideologinya', 'asri', 'positive')]",tempat nya nyaman . didpnnya ada masjid bagus .,"[('tempat nya', 'nyaman', 'positive')]",tempat nya jelek . didpnnya ada masjid bagus .,"[('tempat nya', 'jelek', 'negative')]",[A] tempat nya,[A] tempat nya,True
905,kamar mandi kotor sungguh .,"[('kamar mandi', 'kotor', 'negative')]",massa jenisnya kotor sungguh .,"[('massa jenisnya', 'kotor', 'negative')]",kamar mandi dekil sungguh .,"[('kamar mandi', 'dekil', 'negative')]",kamar mandi bersih sungguh .,"[('kamar mandi', 'bersih', 'positive')]",[A] kamar mandi,[A] kamar mandi,True
920,pelayanannya lambat .,"[('pelayanannya', 'lambat', 'negative')]",ekstensinya lambat .,"[('ekstensinya', 'lambat', 'negative')]",pelayanannya lelet .,"[('pelayanannya', 'lelet', 'negative')]",pelayanannya cepat .,"[('pelayanannya', 'cepat', 'positive')]",[A] pelayanannya,[A] pelayanannya,True
929,handuk banyak rambutnya .,"[('handuk', 'banyak rambutnya', 'negative')]",payung banyak rambutnya .,"[('payung', 'banyak rambutnya', 'negative')]",handuk ada banyak rambut .,"[('handuk', 'ada banyak rambut', 'negative')]",handuk sangat bersih sekali .,"[('handuk', 'sangat bersih sekali', 'positive')]",[A] handuk,[A] handuk,True
935,wifi kurang kencang .,"[('wifi', 'kurang kencang', 'negative')]",bon kurang kencang .,"[('bon', 'kurang kencang', 'negative')]",wifi sangat lambat sekali .,"[('wifi', 'sangat lambat sekali', 'negative')]",wifi cukup kencang .,"[('wifi', 'cukup kencang', 'positive')]",[A] wifi,[A] wifi,True
940,keran kamar mandinya karatan .,"[('keran kamar mandinya', 'karatan', 'negative')]",bungkusan plastiknya karatan .,"[('bungkusan plastiknya', 'karatan', 'negative')]",keran kamar mandinya lapuk .,"[('keran kamar mandinya', 'lapuk', 'negative')]",keran kamar mandinya bersih .,"[('keran kamar mandinya', 'bersih', 'positive')]",[A] keran kamar mandinya,[A] keran kamar mandinya,True
969,"biasa saja , lokasi bagus dekat bandara dan mudah cari tempat makan .","[('lokasi', 'bagus', 'positive')]","biasa saja , tisu bagus dekat bandara dan mudah cari tempat makan .","[('tisu', 'bagus', 'positive')]","biasa saja , lokasi indah dekat bandara dan mudah cari tempat makan .","[('lokasi', 'indah', 'positive')]","biasa saja , lokasi jauh dari bandara dan susah cari tempat makan .","[('lokasi', 'jauh', 'negative')]",[A] lokasi,[A] lokasi,True
988,gambar kamarnya kurang sesuai dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya .,"[('kamarnya', 'kurang sesuai', 'negative')]",gambar kemauannya kurang sesuai dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya .,"[('kemauannya', 'kurang sesuai', 'negative')]",gambar kamarnya kurang cocok dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya .,"[('kamarnya', 'kurang cocok', 'negative')]",gambar kamarnya lumayan sesuai dengan keadaan yang sesungguhnya . up to date dengan gambar sesungguhnya .,"[('kamarnya', 'lumayan sesuai', 'positive')]",[A] kamarnya,[A] kamarnya,True
990,"pelayanan kurang tanggap , .","[('pelayanan', 'kurang tanggap', 'negative')]","raketnya kurang tanggap , .","[('raketnya', 'kurang tanggap', 'negative')]","pelayanan agak lambat , .","[('pelayanan', 'agak lambat', 'negative')]","pelayanan cukup tanggap , .","[('pelayanan', 'cukup tanggap', 'positive')]",[A] pelayanan,[A] pelayanan,True
991,ranjang tidur yang sudah mulai rusak .,"[('ranjang tidur', 'rusak', 'negative')]",udara segar yang sudah mulai rusak .,"[('udara segar', 'rusak', 'negative')]",ranjang tidur yang sudah mulai ringsek .,"[('ranjang tidur', 'ringsek', 'negative')]",ranjang tidur yang sudah mulai pulih .,"[('ranjang tidur', 'pulih', 'positive')]",[A] ranjang tidur,[A] ranjang tidur,True
