index,original_sentence,original_triplet,counterfact1_modified,counterfact_triplet1_modified,counterfact2_modified,counterfact_triplet2_modified,counterfact3_modified,counterfact_triplet3_modified
721,tidak ada tisu .,"[('tisu', 'tidak ada', 'negative')]",tidak ada keberadaan .,"[('keberadaan', 'tidak ada', 'negative')]",langka tisu .,"[('tisu', 'langka', 'negative')]",tersedia tisu .,"[('tisu', 'tersedia', 'positive')]"
730,sarapannya kurang enak .,"[('sarapannya', 'kurang enak', 'negative')]",pohonnya kurang enak .,"[('pohonnya', 'kurang enak', 'negative')]",sarapannya hambar .,"[('sarapannya', 'hambar', 'negative')]",sarapannya sangat enak .,"[('sarapannya', 'sangat enak', 'positive')]"
736,wifi tidak tertangkap .,"[('wifi', 'tidak tertangkap', 'negative')]",lukisan tidak tertangkap .,"[('lukisan', 'tidak tertangkap', 'negative')]",wifi tidak terdeteksi .,"[('wifi', 'tidak terdeteksi', 'negative')]",wifi sangat lancar .,"[('wifi', 'sangat lancar', 'positive')]"
738,"tempatnya nyaman , insya allah kalau ke cirebon akan mampir lagi .","[('tempatnya', 'nyaman', 'positive')]","merk nyaman , insya allah kalau ke cirebon akan mampir lagi .","[('merk', 'nyaman', 'positive')]","tempatnya enak , insya allah kalau ke cirebon akan mampir lagi .","[('tempatnya', 'enak', 'positive')]","tempatnya tidak nyaman , kalau ke cirebon ngga akan mampir lagi .","[('tempatnya', 'tidak nyaman', 'negative')]"
744,ac nya panas .,"[('ac nya', 'panas', 'negative')]",esnya panas .,"[('esnya', 'panas', 'negative')]",ac nya gerah .,"[('ac nya', 'gerah', 'negative')]",ac nya dingin .,"[('ac nya', 'dingin', 'positive')]"
746,wifi nya tidak aktif .,"[('wifi nya', 'tidak aktif', 'negative')]",lemari tidak aktif .,"[('lemari', 'tidak aktif', 'negative')]",wifi nya mati .,"[('wifi nya', 'mati', 'negative')]",wifi nya sangat aktif .,"[('wifi nya', 'sangat aktif', 'positive')]"
750,air showernya kecil .,"[('air showernya', 'kecil', 'negative')]",perjanjiannya kecil .,"[('perjanjiannya', 'kecil', 'negative')]",air showernya kurang deras .,"[('air showernya', 'kurang deras', 'negative')]",air showernya besar .,"[('air showernya', 'besar', 'positive')]"
776,over all baik tetapi kalau bisa kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas .,"[('over all', 'baik', 'positive')]",komik baik tetapi kalau bisa kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas .,"[('komik', 'baik', 'positive')]",over all lumayan tetapi kalau bisa kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas .,"[('over all', 'lumayan', 'positive')]","over all buruk , kolong tempat tidur juga dibersihkan iya karena terdapat pampers bayi bekas .","[('over all', 'buruk', 'negative')]"
790,"ada deposit 100 rb . check in cepat . lokasi dekat sama tempat makan , minimarket , mall .","[('check in', 'cepat', 'positive')]","ada deposit 100 rb . bantal cepat . lokasi dekat sama tempat makan , minimarket , mall .","[('bantal', 'cepat', 'positive')]","ada deposit 100 rb . check in kilat . lokasi dekat sama tempat makan , minimarket , mall .","[('check in', 'kilat', 'positive')]","ada deposit 100 rb . check in lambat . lokasi dekat sama tempat makan , minimarket , mall .","[('check in', 'lambat', 'negative')]"
795,saya baru di infokan kalau tidak ada parkir setelah sudah sampai .,"[('parkir', 'tidak ada', 'negative')]",saya baru di infokan kalau tidak ada kegelapan setelah sudah sampai .,"[('kegelapan', 'tidak ada', 'negative')]",saya baru di infokan kalau tidak tersedia parkir setelah sudah sampai .,"[('parkir', 'tidak tersedia', 'negative')]",saya baru di infokan kalau ada parkir setelah sudah sampai .,"[('parkir', 'ada', 'positive')]"
796,internetnya lambat .,"[('internetnya', 'lambat', 'negative')]",petirnya lambat .,"[('petirnya', 'lambat', 'negative')]",internetnya lelet .,"[('internetnya', 'lelet', 'negative')]",internetnya cepat .,"[('internetnya', 'cepat', 'positive')]"
823,fasilitasnya bagus . terima kasih airy .,"[('fasilitasnya', 'bagus', 'positive')]",kemapanan bagus . terima kasih airy .,"[('kemapanan', 'bagus', 'positive')]",fasilitasnya keren . terima kasih airy .,"[('fasilitasnya', 'keren', 'positive')]",fasilitasnya buruk . terima kasih airy .,"[('fasilitasnya', 'buruk', 'negative')]"
827,kenyamanan kurang . suara orang sebelah kamar terdengar jelas .,"[('kenyamanan', 'kurang', 'negative')]",cita-cita kurang . suara orang sebelah kamar terdengar jelas .,"[('cita-cita', 'kurang', 'negative')]",kenyamanan rendah . suara orang sebelah kamar terdengar jelas .,"[('kenyamanan', 'rendah', 'negative')]",kenyamanan sangat memuaskan . suara orang sebelah kamar tidak terdengar sama sekali .,"[('kenyamanan', 'sangat memuaskan', 'positive')]"
829,lokasi hotel strategis .,"[('lokasi hotel', 'strategis', 'positive')]",jamban strategis .,"[('jamban', 'strategis', 'positive')]",lokasi hotel ideal .,"[('lokasi hotel', 'ideal', 'positive')]",lokasi hotel tidak strategis .,"[('lokasi hotel', 'tidak strategis', 'negative')]"
855,"kamar mandi kotor , hotel sering buat kegiatan anehaneh .","[('kamar mandi', 'kotor', 'negative')]","tulang kotor , hotel sering buat kegiatan anehaneh .","[('tulang', 'kotor', 'negative')]","kamar mandi jorok , hotel sering buat kegiatan anehaneh .","[('kamar mandi', 'jorok', 'negative')]","kamar mandi bersih , hotel sering buat kegiatan yang umum .","[('kamar mandi', 'bersih', 'positive')]"
860,hotelnya nyaman serasa bintang 3 .,"[('hotelnya', 'nyaman', 'positive')]",kesedihan nyaman serasa bintang 3 .,"[('kesedihan', 'nyaman', 'positive')]",hotelnya enak serasa bintang 3 .,"[('hotelnya', 'enak', 'positive')]",hotelnya tidak nyaman serasa bintang 3 .,"[('hotelnya', 'tidak nyaman', 'negative')]"
877,resepsionis sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'sangat tidak ramah', 'negative')]",dolar sangat tidak ramah . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('dolar', 'sangat tidak ramah', 'negative')]",resepsionis menjengkelkan . jatah cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'menjengkelkan', 'negative')]",resepsionis tetap ramah walaupun cek in jam 2 siang tetapi katanya baru bisa masuk jam 3 sore .,"[('resepsionis', 'tetap ramah', 'positive')]"
894,tempat nya asri . didpnnya ada masjid bagus .,"[('tempat nya', 'asri', 'positive')]",ideologinya asri . didpnnya ada masjid bagus .,"[('ideologinya', 'asri', 'positive')]",tempat nya teduh . didpnnya ada masjid bagus .,"[('tempat nya', 'teduh', 'positive')]",tempat nya tidak asri . didpnnya ada masjid bagus .,"[('tempat nya', 'tidak asri', 'negative')]"
905,kamar mandi kotor sungguh .,"[('kamar mandi', 'kotor', 'negative')]",lem kotor sungguh .,"[('lem', 'kotor', 'negative')]",kamar mandi jorok sungguh .,"[('kamar mandi', 'jorok', 'negative')]",kamar mandi bersih sungguh .,"[('kamar mandi', 'bersih', 'positive')]"
920,pelayanannya lambat .,"[('pelayanannya', 'lambat', 'negative')]",ekstensi lambat .,"[('ekstensi', 'lambat', 'negative')]",pelayanannya lelet .,"[('pelayanannya', 'lelet', 'negative')]",pelayanannya cepat .,"[('pelayanannya', 'cepat', 'positive')]"
926,"pelayanan yang mantap , .","[('pelayanan', 'mantap', 'positive')]","kesetaraan yang mantap , .","[('kesetaraan', 'mantap', 'positive')]","pelayanan yang topcer , .","[('pelayanan', 'topcer', 'positive')]","pelayanan yang buruk , .","[('pelayanan', 'buruk', 'negative')]"
929,handuk banyak rambutnya .,"[('handuk', 'banyak rambutnya', 'negative')]",payung banyak rambutnya .,"[('payung', 'banyak rambutnya', 'negative')]",handuk penuh rambut .,"[('handuk', 'penuh rambut', 'negative')]",handuk bersih sekali .,"[('handuk', 'bersih sekali', 'positive')]"
935,wifi kurang kencang .,"[('wifi', 'kurang kencang', 'negative')]",ekosistem kurang kencang .,"[('ekosistem', 'kurang kencang', 'negative')]",wifi lambat .,"[('wifi', 'lambat', 'negative')]",wifi sangat lambat .,"[('wifi', 'sangat lambat', 'positive')]"
940,keran kamar mandinya karatan .,"[('keran kamar mandinya', 'karatan', 'negative')]",plastik karatan .,"[('plastik', 'karatan', 'negative')]",keran kamar mandinya berkarat .,"[('keran kamar mandinya', 'berkarat', 'negative')]",keran kamar mandinya kinclong .,"[('keran kamar mandinya', 'kinclong', 'positive')]"
969,"biasa saja , lokasi bagus dekat bandara dan mudah cari tempat makan .","[('lokasi', 'bagus', 'positive')]","biasa saja , komplikasi bagus dekat bandara dan mudah cari tempat makan .","[('komplikasi', 'bagus', 'positive')]","biasa saja , lokasi menarik dekat bandara dan mudah cari tempat makan .","[('lokasi', 'menarik', 'positive')]","biasa saja , lokasi buruk jauh dari bandara dan susah cari tempat makan .","[('lokasi', 'buruk', 'negative')]"
988,gambar kamarnya kurang sesuai dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya .,"[('kamarnya', 'kurang sesuai', 'negative')]",gambar pertanian kurang sesuai dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya .,"[('pertanian', 'kurang sesuai', 'negative')]",gambar kamarnya tidak akurat dengan keadaan yang sesungguhnya . tolong di update dulu gambar kamarnya .,"[('kamarnya', 'tidak akurat', 'negative')]",gambar kamarnya sangat sesuai dengan keadaan yang sesungguhnya . update dengan gambar sesungguhnya .,"[('kamarnya', 'sangat sesuai', 'positive')]"
990,"pelayanan kurang tanggap , .","[('pelayanan', 'kurang tanggap', 'negative')]","atmosfer kurang tanggap , .","[('atmosfer', 'kurang tanggap', 'negative')]","pelayanan lambat , .","[('pelayanan', 'lambat', 'negative')]","pelayanan sangat tanggap , .","[('pelayanan', 'sangat tanggap', 'positive')]"
991,ranjang tidur yang sudah mulai rusak .,"[('ranjang tidur', 'rusak', 'negative')]",darah yang sudah mulai rusak .,"[('darah', 'rusak', 'negative')]",ranjang tidur yang sudah mulai ringsek .,"[('ranjang tidur', 'ringsek', 'negative')]",ranjang tidur bagus .,"[('ranjang tidur', 'bagus', 'positive')]"
992,pelayanan yang baik .,"[('pelayanan', 'baik', 'positive')]",kelesuan yang baik .,"[('kelesuan', 'baik', 'positive')]",pelayanan yang bagus .,"[('pelayanan', 'bagus', 'positive')]",pelayanan yang buruk .,"[('pelayanan', 'buruk', 'negative')]"
