index,original_sentence,original_triplet,counterfact4_replaced,counterfact_triplet4_replaced
1857,"untuk kamar disini tidak recommended , lebih baik cari yang lain .","[('kamar', 'tidak recommended , lebih baik cari yang lain', 'negative')]","untuk kamar disini tidak recommended , lebih baik cari yang lain .","[('kamar', 'tidak recommended , lebih baik cari yang lain', 'negative')]"
1872,tempat tidur kotor .,"[('tempat tidur', 'kotor', 'negative')]",tempat tidur kotor .,"[('tempat tidur', 'kotor', 'negative')]"
1898,air hangat tidak hidup didalam kamar mandi .,"[('air hangat', 'air hangat tidak hidup didalam kamar mandi', 'negative')]",air hangat tidak hidup didalam kamar mandi .,"[('air hangat', 'air hangat tidak hidup didalam kamar mandi', 'negative')]"
1899,minusnya wifi kurang kencang .,"[('wifi', 'kurang kencang', 'negative')]",minusnya wifi kurang kencang .,"[('wifi', 'kurang kencang', 'negative')]"
1925,selalu suka dengan pelayanannya .,"[('pelayanannya', 'selalu suka', 'positive')]",selalu suka dengan pelayanannya .,"[('pelayanannya', 'selalu suka', 'positive')]"
1932,kamar mandi bau .,"[('kamar mandi', 'bau', 'negative')]",kamar mandi bau .,"[('kamar mandi', 'bau', 'negative')]"
1933,selalu bermasalah dengan tidak tersedia handuk .,"[('handuk', 'selalu bermasalah dengan tidak tersedia handuk', 'negative')]",selalu bermasalah dengan tidak tersedia handuk .,"[('handuk', 'selalu bermasalah dengan tidak tersedia handuk', 'negative')]"
1938,fasilitas hotel harus lebih diperhatikan .,"[('fasilitas hotel', 'lebih diperhatikan', 'negative')]",fasilitas hotel harus lebih diperhatikan .,"[('fasilitas hotel', 'lebih diperhatikan', 'negative')]"
1940,"air nya sempat mati , sehingga saya harus pindah kamar .","[('air nya', 'sempat mati , sehingga saya harus pindah kamar', 'negative')]","air nya sempat mati , sehingga saya harus pindah kamar .","[('air nya', 'sempat mati , sehingga saya harus pindah kamar', 'negative')]"
1960,makanan enak .,"[('makanan', 'enak', 'positive')]",makanan enak .,"[('makanan', 'enak', 'positive')]"
1976,"puas sekali dengan hotel ini , saat itu 2 kamar kami di upgrade ke deluxe room .","[('hotel', 'puas sekali dengan hotel ini , saat itu 2 kamar kami di upgrade ke deluxe room', 'positive')]","puas sekali dengan hotel ini , saat itu 2 kamar kami di upgrade ke deluxe room .","[('hotel', 'puas sekali dengan hotel ini , saat itu 2 kamar kami di upgrade ke deluxe room', 'positive')]"
1980,kamar panas karena ac tidak dingin .,"[('kamar', 'panas karena ac tidak dingin', 'negative')]",kamar panas karena ac tidak dingin .,"[('kamar', 'panas karena ac tidak dingin', 'negative')]"
1996,karena harga terjangkau .,"[('harga', 'terjangkau', 'positive')]",karena harga terjangkau .,"[('harga', 'terjangkau', 'positive')]"
1997,listrik sering mati .,"[('listrik', 'sering mati', 'negative')]",listrik sering mati .,"[('listrik', 'sering mati', 'negative')]"
2003,nyaman hotelnya apalagi dapat promo dari airy . kalau ke malang ingin menginap disini lagi .,"[('hotelnya', 'nyaman', 'positive')]",nyaman hotelnya apalagi dapat promo dari airy . kalau ke malang ingin menginap disini lagi .,"[('hotelnya', 'nyaman', 'positive')]"
2023,pelayanan cek in lama .,"[('pelayanan cek in', 'lama', 'negative')]",pelayanan cek in lama .,"[('pelayanan cek in', 'lama', 'negative')]"
2053,sarapan agar lebih beragam .,"[('sarapan', 'agar lebih beragam', 'negative')]",sarapan agar lebih beragam .,"[('sarapan', 'agar lebih beragam', 'negative')]"
2080,kamar mandi jorok banget .,"[('kamar mandi', 'jorok banget', 'negative')]",kamar mandi jorok banget .,"[('kamar mandi', 'jorok banget', 'negative')]"
2086,"bau toilet menyengat , sampai tercium saat tidur .","[('toilet', 'bau toilet menyengat , sampai tercium saat tidur', 'negative')]","bau toilet menyengat , sampai tercium saat tidur .","[('toilet', 'bau toilet menyengat , sampai tercium saat tidur', 'negative')]"
2091,hotel airy terbaik yang pernah saya temui .,"[('hotel', 'terbaik', 'positive')]",hotel airy terbaik yang pernah saya temui .,"[('hotel', 'terbaik', 'positive')]"
2112,kamar kurang bersih .,"[('kamar', 'kurang bersih', 'negative')]",kamar kurang bersih .,"[('kamar', 'kurang bersih', 'negative')]"
2139,keamanan terjaga karena ada cctv dan keamanan .,"[('keamanan', 'terjaga karena ada cctv dan keamanan', 'positive')]",keamanan terjaga karena ada cctv dan keamanan .,"[('keamanan', 'terjaga karena ada cctv dan keamanan', 'positive')]"
2141,fasilitas oke punya .,"[('fasilitas', 'oke', 'positive')]",fasilitas oke punya .,"[('fasilitas', 'oke', 'positive')]"
2163,tidak ada lift sehingga susah untuk orang tua karena harus naik turun tangga .,"[('lift', 'tidak ada lift sehingga susah untuk orang tua karena harus naik turun tangga', 'negative')]",tidak ada lift sehingga susah untuk orang tua karena harus naik turun tangga .,"[('lift', 'tidak ada lift sehingga susah untuk orang tua karena harus naik turun tangga', 'negative')]"
2169,kasurnya agak reot jadi diganjal pakai batu .,"[('kasurnya', 'agak reot jadi diganjal pakai batu', 'negative')]",kasurnya agak reot jadi diganjal pakai batu .,"[('kasurnya', 'agak reot jadi diganjal pakai batu', 'negative')]"
2196,desain minimalis .,"[('desain', 'minimalis', 'negative')]",desain minimalis .,"[('desain', 'minimalis', 'negative')]"
2199,minus : resepsionis yang lakilaki kurang ramah .,"[('resepsionis', 'kurang ramah', 'negative')]",minus : resepsionis yang lakilaki kurang ramah .,"[('resepsionis', 'kurang ramah', 'negative')]"
2254,acnya lumayan dingin .,"[('acnya', 'lumayan dingin', 'positive')]",acnya lumayan dingin .,"[('acnya', 'lumayan dingin', 'positive')]"
2268,air shower kecil .,"[('air shower', 'kecil', 'negative')]",air shower kecil .,"[('air shower', 'kecil', 'negative')]"
2296,fasilitas oke .,"[('fasilitas', 'oke', 'positive')]",fasilitas oke .,"[('fasilitas', 'oke', 'positive')]"
2298,ac cukup oke .,"[('ac', 'cukup oke', 'positive')]",ac cukup oke .,"[('ac', 'cukup oke', 'positive')]"
2309,menu breakfast kurang bagus .,"[('menu breakfast', 'kurang bagus', 'negative')]",menu breakfast kurang bagus .,"[('menu breakfast', 'kurang bagus', 'negative')]"
2315,dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar .,"[('kamar', 'kurang menarik', 'negative')]",dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar .,"[('kamar', 'kurang menarik', 'negative')]"
2329,seram kamarnya .,"[('kamarnya', 'seram', 'negative')]",seram kamarnya .,"[('kamarnya', 'seram', 'negative')]"
2391,kamarnya benar benar sesuai dengan yang ada di photo .,"[('kamarnya', 'benar benar sesuai dengan yang ada di photo', 'positive')]",kamarnya benar benar sesuai dengan yang ada di photo .,"[('kamarnya', 'benar benar sesuai dengan yang ada di photo', 'positive')]"
2393,"tempat transit , makanannya enak .","[('makanannya', 'enak', 'positive')]","tempat transit , makanannya enak .","[('makanannya', 'enak', 'positive')]"
2399,"terimakasih airy , layanannya sangat sangat baik , moga kedepannya airy semakin sukses . amien .","[('layanannya', 'sangat sangat baik', 'positive')]","terimakasih airy , layanannya sangat sangat baik , moga kedepannya airy semakin sukses . amien .","[('layanannya', 'sangat sangat baik', 'positive')]"
2409,tidak ada lift . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu .,"[('lift', 'tidak ada', 'negative')]",tidak ada lift . kesulitannya hanya mengangkut koper tetapi ada porter yang siap membantu .,"[('lift', 'tidak ada', 'negative')]"
2415,kamar bersih hotel berada disamping gran mall batangase yang megah dan mewah .,"[('kamar', 'bersih', 'positive')]",kamar bersih hotel berada disamping gran mall batangase yang megah dan mewah .,"[('kamar', 'bersih', 'positive')]"
2458,karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan .,"[('kebersihan', 'karena terlalu banyak kamar jadi tidak diperhatikan', 'negative')]",karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan .,"[('kebersihan', 'karena terlalu banyak kamar jadi tidak diperhatikan', 'negative')]"
2462,wifi lebih baik dijangkau dalam kamar . yang lainnya fasilitasnya baik .,"[('fasilitasnya', 'baik', 'positive')]",wifi lebih baik dijangkau dalam kamar . yang lainnya fasilitasnya baik .,"[('fasilitasnya', 'baik', 'positive')]"
2463,tidak ada wifi sesuai yang di iklankan .,"[('wifi', 'tidak ada', 'negative')]",tidak ada wifi sesuai yang di iklankan .,"[('wifi', 'tidak ada', 'negative')]"
2495,wifi kurang joss .,"[('wifi', 'kurang joss', 'negative')]",wifi kurang joss .,"[('wifi', 'kurang joss', 'negative')]"
2499,"sayang , air panasnya tidak terlalu panas , jadi kalau mandi kedinginan . hhehe .","[('air panasnya', 'tidak terlalu panas , jadi kalau mandi kedinginan', 'negative')]","sayang , air panasnya tidak terlalu panas , jadi kalau mandi kedinginan . hhehe .","[('air panasnya', 'tidak terlalu panas , jadi kalau mandi kedinginan', 'negative')]"
